installment_id,order_id,user_id,merchant_id,due_date,installment_amount,paid_date,paid_date_late,late_days,status
inst_d6af18d7,order_4e51e6b7,user_8605401c,merchant_46f1760b,2025-11-18,329.6666666666667,2025-11-17,,0,paid
inst_0adc6bc4,order_4e51e6b7,user_8605401c,merchant_46f1760b,2025-12-18,329.6666666666667,2025-12-17,,0,paid
inst_98f967e4,order_4e51e6b7,user_8605401c,merchant_46f1760b,2026-01-17,329.6666666666667,2026-01-15,,0,paid
inst_1297f5a6,order_b28099b1,user_8605401c,merchant_d7cdffd3,2025-12-31,324.0,2025-12-29,,0,paid
inst_19092a89,order_b28099b1,user_8605401c,merchant_d7cdffd3,2026-01-30,324.0,,2026-02-03 01:57:16.783615+00:00,4,late
inst_9459a55f,order_b28099b1,user_8605401c,merchant_d7cdffd3,2026-03-01,324.0,,2026-03-09 01:57:16.783615+00:00,8,late
inst_dd288fd1,order_64fdf18e,user_8605401c,merchant_d7cdffd3,2025-12-23,557.3333333333334,2025-12-22,,0,paid
inst_fa293bab,order_64fdf18e,user_8605401c,merchant_d7cdffd3,2026-01-22,557.3333333333334,2026-01-20,,0,paid
inst_e10553f6,order_64fdf18e,user_8605401c,merchant_d7cdffd3,2026-02-21,557.3333333333334,2026-02-20,,0,paid
inst_c5a021cf,order_13f37e02,user_1526cb02,merchant_3b5fb9f0,2026-01-02,294.6666666666667,2026-01-02,,0,paid
inst_efde7848,order_13f37e02,user_1526cb02,merchant_3b5fb9f0,2026-02-01,294.6666666666667,2026-01-30,,0,paid
inst_bb4ea122,order_13f37e02,user_1526cb02,merchant_3b5fb9f0,2026-03-03,294.6666666666667,2026-03-01,,0,paid
inst_d3a117a9,order_7952fff3,user_1526cb02,merchant_3b5fb9f0,2025-12-14,205.0,2025-12-12,,0,paid
inst_901fa985,order_7952fff3,user_1526cb02,merchant_3b5fb9f0,2026-01-13,205.0,,2026-01-19 01:57:16.783615+00:00,6,late
inst_b15bba24,order_7952fff3,user_1526cb02,merchant_3b5fb9f0,2026-02-12,205.0,2026-02-11,,0,paid
inst_83f46313,order_762c5d4e,user_1526cb02,merchant_e6fd0f32,2025-12-25,185.0,2025-12-25,,0,paid
inst_ae7a65f1,order_762c5d4e,user_1526cb02,merchant_e6fd0f32,2026-01-24,185.0,2026-01-24,,0,paid
inst_2a29a5b3,order_762c5d4e,user_1526cb02,merchant_e6fd0f32,2026-02-23,185.0,2026-02-23,,0,paid
inst_3d08f5e9,order_8b5f542b,user_af52516c,merchant_3ba9c3b0,2025-11-03,368.6666666666667,2025-11-03,,0,paid
inst_fed8c682,order_8b5f542b,user_af52516c,merchant_3ba9c3b0,2025-12-03,368.6666666666667,2025-12-03,,0,paid
inst_84efee7b,order_8b5f542b,user_af52516c,merchant_3ba9c3b0,2026-01-02,368.6666666666667,2026-01-01,,0,paid
inst_9e397aea,order_923b7f84,user_af52516c,merchant_9a29c451,2025-10-31,444.3333333333333,,2025-11-12 01:57:16.783615+00:00,12,late
inst_909665df,order_923b7f84,user_af52516c,merchant_9a29c451,2025-11-30,444.3333333333333,2025-11-29,,0,paid
inst_6a7b1f07,order_923b7f84,user_af52516c,merchant_9a29c451,2025-12-30,444.3333333333333,2025-12-30,,0,paid
inst_f4c3b9d7,order_005941b2,user_fe4f5d31,merchant_d068dcce,2026-01-09,132.33333333333334,,2026-01-20 01:57:16.783615+00:00,11,late
inst_2099157f,order_005941b2,user_fe4f5d31,merchant_d068dcce,2026-02-08,132.33333333333334,2026-02-06,,0,paid
inst_481591eb,order_005941b2,user_fe4f5d31,merchant_d068dcce,2026-03-10,132.33333333333334,2026-03-09,,0,paid
inst_92cf9e2e,order_16aa5124,user_fe4f5d31,merchant_a6ad38ac,2026-01-07,293.3333333333333,2026-01-05,,0,paid
inst_c5f20d89,order_16aa5124,user_fe4f5d31,merchant_a6ad38ac,2026-02-06,293.3333333333333,2026-02-04,,0,paid
inst_e014fac2,order_16aa5124,user_fe4f5d31,merchant_a6ad38ac,2026-03-08,293.3333333333333,2026-03-06,,0,paid
inst_74aeadc0,order_b662999d,user_fe4f5d31,merchant_d068dcce,2025-11-09,172.66666666666666,2025-11-08,,0,paid
inst_08082edb,order_b662999d,user_fe4f5d31,merchant_d068dcce,2025-12-09,172.66666666666666,2025-12-09,,0,paid
inst_9add0c92,order_b662999d,user_fe4f5d31,merchant_d068dcce,2026-01-08,172.66666666666666,2026-01-07,,0,paid
inst_09a3faf7,order_e1dac558,user_05e27902,merchant_00df7761,2025-11-02,533.0,2025-11-01,,0,paid
inst_3c7927ec,order_e1dac558,user_05e27902,merchant_00df7761,2025-12-02,533.0,2025-12-02,,0,paid
inst_310c3600,order_e1dac558,user_05e27902,merchant_00df7761,2026-01-01,533.0,2025-12-30,,0,paid
inst_f54bee81,order_75e8ff65,user_9ac87517,merchant_e6fd0f32,2025-11-28,216.0,2025-11-27,,0,paid
inst_296fbee5,order_75e8ff65,user_9ac87517,merchant_e6fd0f32,2025-12-28,216.0,2025-12-27,,0,paid
inst_58a17276,order_75e8ff65,user_9ac87517,merchant_e6fd0f32,2026-01-27,216.0,2026-01-26,,0,paid
inst_00a25549,order_52ba429c,user_9ac87517,merchant_3b5fb9f0,2025-12-15,291.6666666666667,2025-12-14,,0,paid
inst_d72a8ab6,order_52ba429c,user_9ac87517,merchant_3b5fb9f0,2026-01-14,291.6666666666667,2026-01-14,,0,paid
